,drift,atd,abund185.1,abund203.1,abund205.1,abund245.1,abund259.1,abund277.1,abund305.1,abund347.1,abund365.1,abund367.1,abund407.1,abund439.2,abund467.2,abund509.2,abund529.2
75,75,124.1,62,0,155,4,9,6,76,825,10,2038,27,15,133,62,2951
76,76,124.355,65,0,59,3,0,0,35,487,1,864,14,0,75,26,1061
77,77,124.61,0,0,19,0,0,5,0,98,3,188,0,6,37,0,287
78,78,124.865,5,0,12,0,0,0,0,8,0,39,0,7,17,9,146
79,79,125.12,0,0,0,0,0,0,0,11,0,6,0,0,0,0,27
80,80,125.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,125.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,125.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
83,83,126.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
84,84,126.395,0,0,0,0,0,0,7,0,0,5,0,0,0,0,7
85,85,126.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,126.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,127.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,127.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89,127.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,127.925,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
91,91,128.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
92,92,128.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,128.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,128.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
95,95,129.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,96,129.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,97,129.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
98,98,129.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,99,130.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,130.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,101,130.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102,130.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103,131.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104,131.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105,131.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,106,132.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,107,132.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,108,132.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,109,132.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,110,133.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
111,111,133.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,112,133.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
